JFK,6.56
IAD,6.47
LGA,6.32
SFO,6.28
BOS,6.2
DEN,6.05
ORD,5.99
EWR,5.98
MIA,5.97
CLT,5.96
PHL,5.92
ATL,5.89
DFW,5.68
LAX,5.67
DTW,5.44
OAK,5.32
